"Notes"	"State"	"State Code"	"County"	"County Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	3048	54538	5588.8
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"80-84 years"	"80-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	12	255	Unreliable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"80-84 years"	"80-84"	"Male"	"M"	"Black or African American"	"2054-5"	13	203	Unreliable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	2740	32608	8402.8
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"85-89 years"	"85-89"	"Female"	"F"	"White"	"2106-3"	3948	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"85-89 years"	"85-89"	"Male"	"M"	"Black or African American"	"2054-5"	13	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"85-89 years"	"85-89"	"Male"	"M"	"White"	"2106-3"	2574	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"90-94 years"	"90-94"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	11	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"90-94 years"	"90-94"	"Female"	"F"	"Black or African American"	"2054-5"	10	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"90-94 years"	"90-94"	"Female"	"F"	"White"	"2106-3"	3292	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"90-94 years"	"90-94"	"Male"	"M"	"White"	"2106-3"	1476	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"95-99 years"	"95-99"	"Female"	"F"	"White"	"2106-3"	1497	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"95-99 years"	"95-99"	"Male"	"M"	"White"	"2106-3"	472	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"100+ years"	"100+"	"Female"	"F"	"White"	"2106-3"	340	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"100+ years"	"100+"	"Male"	"M"	"White"	"2106-3"	47	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	26	7332	354.6
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	30	7810	384.1
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	13	53961	Unreliable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	27	53558	50.4
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	10	49725	Unreliable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	44	52782	83.4
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	17	45634	Unreliable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	47	49373	95.2
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	36	48729	73.9
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	63	47741	132.0
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	41	55341	74.1
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	65	55479	117.2
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	82	60065	136.5
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	109	58709	185.7
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	135	65251	206.9
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	10	2563	Unreliable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	202	62107	325.2
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	13	2042	Unreliable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	187	67854	275.6
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	19	2471	Unreliable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	301	63568	473.5
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	15	1887	Unreliable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	256	65369	391.6
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	14	2006	Unreliable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	435	61719	704.8
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	10	1563	Unreliable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	411	57474	715.1
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	20	1628	1228.5
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	492	53691	916.4
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	14	1375	Unreliable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	492	47582	1034.0
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	20	1113	1796.9
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	639	44015	1451.8
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	23	1131	2033.6
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	604	39166	1542.2
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"70-74 years"	"70-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	10	493	Unreliable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	35	940	3723.4
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	896	34273	2614.3
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"75-79 years"	"75-79"	"Female"	"F"	"Black or African American"	"2054-5"	31	993	3121.9
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	931	31675	2939.2
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"75-79 years"	"75-79"	"Male"	"M"	"Black or African American"	"2054-5"	40	684	5848.0
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	1042	24804	4200.9
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"80-84 years"	"80-84"	"Female"	"F"	"Black or African American"	"2054-5"	50	846	5910.2
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	1314	25810	5091.0
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"80-84 years"	"80-84"	"Male"	"M"	"Black or African American"	"2054-5"	35	504	6944.4
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	1208	17284	6989.1
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"85-89 years"	"85-89"	"Female"	"F"	"Black or African American"	"2054-5"	31	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"85-89 years"	"85-89"	"Female"	"F"	"White"	"2106-3"	1658	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"85-89 years"	"85-89"	"Male"	"M"	"Black or African American"	"2054-5"	26	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"85-89 years"	"85-89"	"Male"	"M"	"White"	"2106-3"	1198	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"90-94 years"	"90-94"	"Female"	"F"	"Black or African American"	"2054-5"	31	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"90-94 years"	"90-94"	"Female"	"F"	"White"	"2106-3"	1553	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"90-94 years"	"90-94"	"Male"	"M"	"Black or African American"	"2054-5"	12	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"90-94 years"	"90-94"	"Male"	"M"	"White"	"2106-3"	752	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"95-99 years"	"95-99"	"Female"	"F"	"Black or African American"	"2054-5"	10	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"95-99 years"	"95-99"	"Female"	"F"	"White"	"2106-3"	760	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"95-99 years"	"95-99"	"Male"	"M"	"White"	"2106-3"	260	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"100+ years"	"100+"	"Female"	"F"	"White"	"2106-3"	182	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Newport County, RI"	"44005"	"100+ years"	"100+"	"Male"	"M"	"White"	"2106-3"	31	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"< 1 year"	"1"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	18	4310	Unreliable
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	122	14101	865.2
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	368	61498	598.4
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"< 1 year"	"1"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	32	4367	732.8
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	151	14428	1046.6
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	466	64689	720.4
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	42	243652	17.2
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	54	257122	21.0
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	33	310283	10.6
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	16	70580	Unreliable
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	35	328589	10.7
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	12	70449	Unreliable
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	37	325943	11.4
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	13	72336	Unreliable
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	50	345884	14.5
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	14	75538	Unreliable
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	94	394431	23.8
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	20	25835	77.4
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	46	77612	59.3
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	192	403006	47.6
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	14	75934	Unreliable
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	137	429465	31.9
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	20	34003	58.8
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	85	75858	112.1
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	414	430609	96.1
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	39	67717	57.6
	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	196	401038	48.9
