Year,Gender,Intent,Intent,Drug type,< 1 year,1-4 years,5-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85+ years,Not stated,All ages
2021,Female,Preventable/accidental,Preventable/accidental,Any Opioid,0,11,"1,750","5,247","5,708","4,386",21,"3,764",825,52,20,9,"21,793"
2021,Female,Preventable/accidental,Preventable/accidental,Benzodiazepines,0,0,300,937,"1,115",937,0,810,211,10,0,10,"4,330"
2021,Female,Preventable/accidental,Preventable/accidental,Cannabis,0,0,39,75,74,63,0,38,4,0,0,0,293
2021,Female,Preventable/accidental,Preventable/accidental,Cocaine,0,0,365,"1,342","1,701","1,536",0,"1,373",224,14,0,3,"6,558"
2021,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup - heroin,0,0,123,535,601,498,0,454,91,0,0,7,"2,309"
2021,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup - methadone,0,0,23,237,360,328,0,340,82,0,0,3,"1,373"
2021,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup – including fentanyl,0,10,"1,662","4,784","4,941","3,585",21,"2,862",525,30,18,0,"18,438"
2021,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,0,158,752,"1,114","1,074",0,"1,109",323,24,11,2,"4,567"
2021,Female,Preventable/accidental,Preventable/accidental,Psychostimulants – incl. methamphetamine,0,0,508,"2,044","2,598","1,986",0,"1,461",249,14,0,9,"8,869"
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,40,67,"5,115","17,361","18,941","14,963",49,"13,277","3,928",443,108,9,"74,301"
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,18,54,"4,446","14,740","15,054","10,842",39,"8,925","2,412",189,31,7,"56,757"
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,0,0,789,"2,044","1,962","1,277",0,"1,030",296,34,10,1,"7,443"
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,0,0,106,254,217,145,0,112,17,0,0,1,852
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,0,0,773,"3,392","4,241","4,108",0,"3,988","1,046",67,0,13,"17,628"
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,0,0,234,"1,601","1,797","1,406",0,"1,332",397,29,0,5,"6,801"
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,0,0,45,338,513,465,0,546,224,19,0,9,"2,159"
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,16,51,"4,181","13,564","13,814","9,663",31,"7,736","1,869",91,7,7,"51,030"
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,0,0,411,"1,887","1,936","1,688",0,"1,618",611,88,22,7,"8,268"
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,19,0,961,"5,359","6,520","5,243",0,"4,144","1,008",52,0,13,"23,319"
2021,Male,Preventable/accidental,Preventable/accidental,All drugs,14,18,"4,754","16,453","17,971","14,073",36,"12,462","3,565",324,58,7,"69,735"
2021,Male,Preventable/accidental,Preventable/accidental,Any Opioid,0,14,"4,271","14,129","14,429","10,312",31,"8,446","2,210",131,10,9,"53,992"
2021,Male,Preventable/accidental,Preventable/accidental,Benzodiazepines,0,0,749,"1,952","1,846","1,177",0,920,231,16,0,3,"6,894"
2021,Male,Preventable/accidental,Preventable/accidental,Cannabis,0,0,106,248,213,142,0,111,16,0,0,1,837
2021,Male,Preventable/accidental,Preventable/accidental,Cocaine,0,0,744,"3,251","4,075","3,934",0,"3,853","1,027",65,0,6,"16,955"
2021,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup - heroin,0,0,226,"1,568","1,749","1,384",0,"1,310",395,29,0,4,"6,665"
2021,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup - methadone,0,0,44,310,474,427,0,507,208,18,0,2,"1,990"
2021,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup – including fentanyl,0,13,"4,030","13,033","13,285","9,250",26,"7,387","1,769",80,14,0,"48,887"
2021,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,0,374,"1,792","1,840","1,550",0,"1,457",503,40,5,5,"7,566"
2021,Male,Preventable/accidental,Preventable/accidental,Psychostimulants – incl. methamphetamine,0,0,922,"5,210","6,337","5,129",0,"4,084",992,48,0,16,"22,738"
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,65,70,112,"7,095","21,784","22,710","18,919","15,819","4,291",655,263,16,"91,799"
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,24,58,61,"5,986","18,239","17,666","13,258","10,445","2,554",254,76,9,"68,630"
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,1,1,6,"1,267","3,073","3,069","2,287","1,933",535,84,34,0,"12,290"
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,1,0,1,149,300,270,171,114,22,0,0,0,"1,028"
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,3,1,1,"1,089","4,366","4,796","4,487","3,807",842,50,3,2,"19,447"
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,2,2,2,711,"3,586","3,477","2,639","2,160",555,29,1,1,"13,165"
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,2,12,5,130,604,903,805,809,262,9,0,2,"3,543"
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,19,41,43,"5,393","15,854","14,906","10,734","7,777","1,623",103,16,7,"56,516"
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,4,5,13,693,"2,784","3,243","2,831","2,815",867,153,60,3,"13,471"
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,33,3,3,"1,316","5,700","6,624","5,271","3,972",863,40,3,9,"23,837"
2020,Both sexes,Preventable/accidental,Preventable/accidental,All drugs,15,26,52,"6,496","20,322","21,114","17,192","14,193","3,563",413,156,16,"83,558"
2020,Both sexes,Preventable/accidental,Preventable/accidental,Any Opioid,5,20,40,"5,729","17,344","16,783","12,370","9,538","2,182",139,24,9,"64,183"
2020,Both sexes,Preventable/accidental,Preventable/accidental,Benzodiazepines,0,0,3,"1,205","2,898","2,830","1,995","1,666",363,25,9,0,"10,994"
2020,Both sexes,Preventable/accidental,Preventable/accidental,Cannabis,0,0,0,143,294,262,164,108,18,0,0,0,989
2020,Both sexes,Preventable/accidental,Preventable/accidental,Cocaine,2,0,1,"1,055","4,161","4,587","4,283","3,651",816,49,2,2,"18,609"
2020,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup - heroin,1,1,2,690,"3,493","3,393","2,587","2,111",544,26,1,1,"12,850"
2020,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup - methadone,1,3,0,118,555,832,728,731,236,6,0,2,"3,212"
2020,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup – including fentanyl,4,15,36,"5,180","15,116","14,221","10,116","7,225","1,477",75,8,7,"53,480"
2020,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,2,4,652,"2,596","3,001","2,516","2,419",623,62,15,3,"11,893"
2020,Both sexes,Preventable/accidental,Preventable/accidental,Psychostimulants – incl. methamphetamine,8,0,1,"1,267","5,481","6,373","5,127","3,875",843,37,1,9,"23,022"
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,31,28,66,"1,990","6,141","6,791","6,089","5,096","1,371",313,153,2,"28,071"
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,11,26,28,"1,584","4,987","5,028","4,074","3,307",764,117,44,0,"19,970"
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,1,0,2,330,"1,035","1,187","1,027",898,251,56,23,0,"4,810"
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,0,0,1,36,59,57,43,32,5,0,0,0,233
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,1,0,0,299,"1,230","1,363","1,243",963,142,4,0,0,"5,245"
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,0,0,1,230,965,866,639,488,90,5,0,0,"3,284"
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,1,5,3,29,228,384,349,334,76,2,0,0,"1,411"
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,8,18,18,"1,428","4,222","3,999","2,985","2,145",371,47,9,0,"15,250"
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,3,3,7,196,940,"1,180","1,228","1,231",383,79,36,0,"5,286"
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,18,1,2,444,"1,744","1,933","1,542","1,025",171,6,2,2,"6,890"
2020,Female,Preventable/accidental,Preventable/accidental,All drugs,4,10,24,"1,719","5,608","6,101","5,269","4,325",976,179,93,2,"24,310"
2020,Female,Preventable/accidental,Preventable/accidental,Any Opioid,1,9,17,"1,506","4,697","4,701","3,701","2,917",572,56,15,0,"18,192"
2020,Female,Preventable/accidental,Preventable/accidental,Benzodiazepines,0,0,1,302,950,"1,066",863,736,149,14,7,0,"4,088"
2020,Female,Preventable/accidental,Preventable/accidental,Cannabis,0,0,0,32,59,54,38,30,4,0,0,0,217
2020,Female,Preventable/accidental,Preventable/accidental,Cocaine,0,0,0,282,"1,162","1,298","1,172",924,137,3,0,0,"4,978"
2020,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup - heroin,0,0,1,220,931,841,624,472,89,5,0,0,"3,183"
2020,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup - methadone,0,1,0,27,205,351,312,298,69,0,0,0,"1,263"
2020,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup – including fentanyl,1,6,16,"1,368","3,999","3,777","2,777","1,967",319,26,4,0,"14,260"
2020,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,2,1,176,869,"1,060","1,053","1,006",233,33,11,0,"4,444"
2020,Female,Preventable/accidental,Preventable/accidental,Psychostimulants – incl. methamphetamine,3,0,1,424,"1,668","1,831","1,488",981,164,4,0,2,"6,566"
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,34,42,46,"5,105","15,643","15,919","12,830","10,723","2,920",342,110,14,"63,728"
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,13,32,33,"4,402","13,252","12,638","9,184","7,138","1,790",137,32,9,"48,660"
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,0,1,4,937,"2,038","1,882","1,260","1,035",284,28,11,0,"7,480"
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,1,0,0,113,241,213,128,82,17,0,0,0,795
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,2,1,1,790,"3,136","3,433","3,244","2,844",700,46,3,2,"14,202"
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,2,2,1,481,"2,621","2,611","2,000","1,672",465,24,1,1,"9,881"
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,1,7,2,101,376,519,456,475,186,7,0,2,"2,132"
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,11,23,25,"3,965","11,632","10,907","7,749","5,632","1,252",56,7,7,"41,266"
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,1,2,6,497,"1,844","2,063","1,603","1,584",484,74,24,3,"8,185"
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,15,2,1,872,"3,956","4,691","3,729","2,947",692,34,1,7,"16,947"
2020,Male,Preventable/accidental,Preventable/accidental,All drugs,11,16,28,"4,777","14,714","15,013","11,923","9,868","2,587",234,63,14,"59,248"
2020,Male,Preventable/accidental,Preventable/accidental,Any Opioid,4,11,23,"4,223","12,647","12,082","8,669","6,621","1,610",83,9,9,"45,991"
2020,Male,Preventable/accidental,Preventable/accidental,Benzodiazepines,0,0,2,903,"1,948","1,764","1,132",930,214,11,2,0,"6,906"
2020,Male,Preventable/accidental,Preventable/accidental,Cannabis,0,0,0,111,235,208,126,78,14,0,0,0,772
2020,Male,Preventable/accidental,Preventable/accidental,Cocaine,2,0,1,773,"2,999","3,289","3,111","2,727",679,46,2,2,"13,631"
2020,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup - heroin,1,1,1,470,"2,562","2,552","1,963","1,639",455,21,1,1,"9,667"
2020,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup - methadone,1,2,0,91,350,481,416,433,167,6,0,2,"1,949"
2020,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup – including fentanyl,3,9,20,"3,812","11,117","10,444","7,339","5,258","1,158",49,4,7,"39,220"
2020,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,0,3,476,"1,727","1,941","1,463","1,413",390,29,4,3,"7,449"
2020,Male,Preventable/accidental,Preventable/accidental,Psychostimulants – incl. methamphetamine,5,0,0,843,"3,813","4,542","3,639","2,894",679,33,1,7,"16,456"
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,50,50,63,"4,777","16,375","16,859","15,083","12,896","3,557",672,240,8,"70,630"
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,19,39,31,"3,725","13,309","12,425","10,015","7,978","1,977",265,72,5,"49,860"
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,0,1,4,727,"2,297","2,282","2,036","1,788",458,96,21,1,"9,711"
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,0,0,1,111,233,197,155,85,17,0,0,0,799
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,3,2,2,850,"3,630","3,889","3,726","3,061",679,37,1,3,"15,883"
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,4,3,1,876,"4,026","3,629","2,757","2,173",523,25,1,1,"14,019"
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,5,6,6,80,524,669,631,638,169,11,1,0,"2,740"
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,10,29,16,"3,040","10,550","9,407","7,081","5,092","1,044",75,10,5,"36,359"
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,4,5,12,609,"2,361","2,651","2,629","2,544",827,184,58,2,"11,886"
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,17,2,6,909,"3,692","4,325","3,702","2,897",584,31,2,0,"16,167"
2019,Both sexes,Preventable/accidental,Preventable/accidental,All drugs,12,20,19,"4,156","15,054","15,336","13,237","11,051","2,777",378,126,6,"62,172"
2019,Both sexes,Preventable/accidental,Preventable/accidental,Any Opioid,5,14,13,"3,472","12,537","11,610","9,110","6,989","1,597",123,16,3,"45,489"
2019,Both sexes,Preventable/accidental,Preventable/accidental,Benzodiazepines,0,0,1,670,"2,140","2,097","1,727","1,435",293,27,5,1,"8,396"
2019,Both sexes,Preventable/accidental,Preventable/accidental,Cannabis,0,0,0,105,221,188,146,79,16,0,0,0,755
2019,Both sexes,Preventable/accidental,Preventable/accidental,Cocaine,1,1,1,802,"3,436","3,668","3,528","2,916",649,36,0,3,"15,041"
2019,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup - heroin,0,2,0,839,"3,900","3,518","2,690","2,110",511,22,1,1,"13,594"
2019,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup - methadone,2,2,1,70,485,600,570,572,152,7,0,0,"2,461"
2019,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup – including fentanyl,2,11,12,"2,869","9,946","8,846","6,528","4,561",904,41,2,3,"33,725"
2019,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,1,2,3,525,"2,167","2,376","2,214","2,037",575,67,12,2,"9,981"
2019,Both sexes,Preventable/accidental,Preventable/accidental,Psychostimulants – incl. methamphetamine,4,1,2,846,"3,528","4,155","3,572","2,799",566,28,2,0,"15,503"
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,20,26,41,"1,459","4,767","5,088","5,200","4,411","1,248",337,149,3,"22,749"
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,9,18,18,"1,058","3,763","3,536","3,247","2,733",662,136,42,3,"15,225"
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,0,1,3,208,750,872,968,880,232,57,15,0,"3,986"
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,0,0,1,33,47,65,53,26,3,0,0,0,228
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,1,0,2,236,"1,044","1,083","1,085",760,119,4,1,1,"4,336"
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,0,1,1,280,"1,085",852,672,526,97,4,1,1,"3,520"
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,2,3,4,25,220,291,289,248,54,3,1,0,"1,140"
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,5,13,8,865,"2,938","2,453","2,014","1,486",256,29,6,3,"10,076"
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,3,2,7,180,777,"1,020","1,169","1,143",398,106,35,2,"4,842"
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,8,1,2,313,"1,176","1,240","1,099",757,130,6,1,0,"4,733"
2019,Female,Preventable/accidental,Preventable/accidental,All drugs,6,10,11,"1,163","4,256","4,420","4,227","3,501",818,170,83,2,"18,667"
2019,Female,Preventable/accidental,Preventable/accidental,Any Opioid,4,5,7,956,"3,506","3,236","2,824","2,278",474,55,11,2,"13,358"
2019,Female,Preventable/accidental,Preventable/accidental,Benzodiazepines,0,0,1,180,679,778,772,664,128,13,4,0,"3,219"
2019,Female,Preventable/accidental,Preventable/accidental,Cannabis,0,0,0,30,45,62,46,22,3,0,0,0,208
2019,Female,Preventable/accidental,Preventable/accidental,Cocaine,1,0,1,218,980,"1,016","1,004",729,114,4,0,1,"4,068"
2019,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup - heroin,0,1,0,266,"1,044",818,646,507,95,2,1,1,"3,381"
2019,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup - methadone,2,0,1,20,201,258,260,223,44,0,0,0,"1,009"
2019,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup – including fentanyl,1,5,6,800,"2,751","2,278","1,802","1,290",206,12,2,2,"9,155"
2019,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,1,0,1,141,693,895,939,875,250,39,8,2,"3,844"
2019,Female,Preventable/accidental,Preventable/accidental,Psychostimulants – incl. methamphetamine,2,0,1,281,"1,120","1,177","1,037",714,121,5,1,0,"4,459"
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,30,24,22,"3,318","11,608","11,771","9,883","8,485","2,309",335,91,5,"47,881"
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,10,21,13,"2,667","9,546","8,889","6,768","5,245","1,315",129,30,2,"34,635"
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,0,0,1,519,"1,547","1,410","1,068",908,226,39,6,1,"5,725"
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,0,0,0,78,186,132,102,59,14,0,0,0,571
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,2,2,0,614,"2,586","2,806","2,641","2,301",560,33,0,2,"11,547"
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,4,2,0,596,"2,941","2,777","2,085","1,647",426,21,0,0,"10,499"
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,3,3,2,55,304,378,342,390,115,8,0,0,"1,600"
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,5,16,8,"2,175","7,612","6,954","5,067","3,606",788,46,4,2,"26,283"
