"Drug poisoning death rates* by intent, age, sex, and drug type, 1999-2021",,,,,,,,,,,,,,,,,,,
Year,Gender,Intent,,Substance,,,Age Group,,,,,,,,,,,,
,,,,,,,< 1 year,1-4 years,5-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85+ years,,
2021,Both sexes,Preventable/accidental,,All drugs,,,0.7,0.2,15.6,49.7,58.2,49.6,0.2,41.6,14.5,3.2,2.4,,
2021,Both sexes,Preventable/accidental,,Any Opioid,,,0.3,0.2,14.0,42.6,46.4,36.1,0.1,28.5,9.0,1.1,0.5,,
2021,Both sexes,Preventable/accidental,,Benzodiazepines,,,,,2.4,6.4,6.8,5.2,,4.0,1.3,0.2,,,
2021,Both sexes,Preventable/accidental,,Cannabis,,,0.0,0.0,0.3,0.7,0.7,0.5,0.0,0.3,0.1,0.0,0.0,,
2021,Both sexes,Preventable/accidental,,Cocaine,,,,,2.6,10.1,13.3,13.4,,12.2,3.7,0.5,,,
2021,Both sexes,Preventable/accidental,,Opioid subgroup - heroin,,,0.0,0.0,0.8,4.6,5.4,4.6,0.0,4.1,1.4,0.2,0.0,,
2021,Both sexes,Preventable/accidental,,Opioid subgroup - methadone,,,0.0,0.0,0.2,1.2,1.9,1.9,0.0,2.0,0.9,0.1,0.0,,
2021,Both sexes,Preventable/accidental,,Opioid subgroup – including fentanyl,,,0.3,0.2,13.2,39.2,42.0,31.5,0.1,23.9,6.8,0.7,0.3,,
2021,Both sexes,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.0,0.0,1.2,5.6,6.8,6.4,0.0,6.0,2.5,0.4,0.3,,
2021,Both sexes,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.3,,3.3,15.9,20.6,17.5,,13.0,3.7,0.4,,,
2021,Female,"All (preventable, intentional, undetermined)",,All drugs,,,2.0,0.8,11.0,29.9,37.0,33.9,0.3,28.0,9.7,4.0,3.9,,
2021,Female,"All (preventable, intentional, undetermined)",,Any Opioid,,,1.4,0.7,8.8,24.7,28.1,23.3,0.2,19.0,5.7,1.4,1.3,,
2021,Female,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,,,1.6,4.5,5.8,5.4,,4.5,1.7,0.6,0.8,,
2021,Female,"All (preventable, intentional, undetermined)",,Cannabis,,,0.0,0.0,0.2,0.3,0.4,0.3,0.0,0.2,0.0,0.0,0.0,,
2021,Female,"All (preventable, intentional, undetermined)",,Cocaine,,,,,1.8,6.2,8.3,7.9,,6.5,1.3,0.2,,,
2021,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,0.0,0.0,0.6,2.5,2.9,2.5,0.0,2.1,0.5,0.1,0.0,,
2021,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.0,0.0,0.1,1.2,1.8,1.7,0.0,1.8,0.5,0.0,0.0,,
2021,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,1.4,0.6,8.3,22.4,24.1,18.7,0.1,14.0,3.3,0.6,0.4,,
2021,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,,,0.9,3.6,5.7,6.1,,6.0,2.6,0.9,1.0,,
2021,Female,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.6,,2.6,9.4,12.5,10.2,,6.9,1.4,0.2,,,
2021,Female,Preventable/accidental,,All drugs,,,0.7,0.2,9.4,27.4,33.8,30.0,0.1,24.5,7.4,2.1,2.2,,
2021,Female,Preventable/accidental,,Any Opioid,,,,0.1,8.3,23.4,26.5,21.5,0.1,17.2,4.6,0.6,0.5,,
2021,Female,Preventable/accidental,,Benzodiazepines,,,,,1.4,4.2,5.2,4.6,,3.7,1.2,0.1,,,
2021,Female,Preventable/accidental,,Cannabis,,,0.0,0.0,0.2,0.3,0.3,0.3,0.0,0.2,0.0,0.0,0.0,,
2021,Female,Preventable/accidental,,Cocaine,,,,,1.7,6.0,7.9,7.5,,6.3,1.3,0.2,,,
2021,Female,Preventable/accidental,,Opioid subgroup - heroin,,,0.0,0.0,0.6,2.4,2.8,2.4,0.0,2.1,0.5,0.0,0.0,,
2021,Female,Preventable/accidental,,Opioid subgroup - methadone,,,0.0,0.0,0.1,1.1,1.7,1.6,0.0,1.6,0.5,0.0,0.0,,
2021,Female,Preventable/accidental,,Opioid subgroup – including fentanyl,,,,0.1,7.9,21.3,22.9,17.6,0.1,13.1,2.9,0.3,0.5,,
2021,Female,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.0,0.0,0.7,3.4,5.2,5.3,0.0,5.1,1.8,0.3,0.3,,
2021,Female,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,,,2.4,9.1,12.1,9.7,,6.7,1.4,0.2,,,
2021,Male,"All (preventable, intentional, undetermined)",,All drugs,,,2.2,0.9,23.3,75.3,86.7,73.7,0.2,63.3,24.8,6.2,5.0,,
2021,Male,"All (preventable, intentional, undetermined)",,Any Opioid,,,1.0,0.7,20.2,63.9,68.9,53.4,0.2,42.6,15.2,2.6,1.4,,
2021,Male,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,,,3.6,8.9,9.0,6.3,,4.9,1.9,0.5,0.5,,
2021,Male,"All (preventable, intentional, undetermined)",,Cannabis,,,0.0,0.0,0.5,1.1,1.0,0.7,0.0,0.5,0.1,0.0,0.0,,
2021,Male,"All (preventable, intentional, undetermined)",,Cocaine,,,,,3.5,14.7,19.4,20.2,,19.0,6.6,0.9,,,
2021,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,0.0,0.0,1.1,6.9,8.2,6.9,0.0,6.4,2.5,0.4,0.0,,
2021,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.0,0.0,0.2,1.5,2.3,2.3,0.0,2.6,1.4,0.3,0.0,,
2021,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.9,0.7,19.0,58.8,63.2,47.6,0.1,36.9,11.8,1.3,0.3,,
2021,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,,,1.9,8.2,8.9,8.3,,7.7,3.9,1.2,1.0,,
2021,Male,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,1.0,,4.4,23.2,29.8,25.8,,19.8,6.4,0.7,,,
2021,Male,Preventable/accidental,,All drugs,,,0.8,0.2,21.6,71.4,82.2,69.3,0.2,59.4,22.5,4.5,2.7,,
2021,Male,Preventable/accidental,,Any Opioid,,,,0.2,19.4,61.3,66.0,50.8,0.1,40.3,13.9,1.8,0.5,,
2021,Male,Preventable/accidental,,Benzodiazepines,,,,,3.4,8.5,8.4,5.8,,4.4,1.5,0.2,,,
2021,Male,Preventable/accidental,,Cannabis,,,0.0,0.0,0.5,1.1,1.0,0.7,0.0,0.5,0.1,0.0,0.0,,
2021,Male,Preventable/accidental,,Cocaine,,,,,3.4,14.1,18.6,19.4,,18.4,6.5,0.9,,,
2021,Male,Preventable/accidental,,Opioid subgroup - heroin,,,0.0,0.0,1.0,6.8,8.0,6.8,0.0,6.2,2.5,0.4,0.0,,
2021,Male,Preventable/accidental,,Opioid subgroup - methadone,,,0.0,0.0,0.2,1.3,2.2,2.1,0.0,2.4,1.3,0.3,0.0,,
2021,Male,Preventable/accidental,,Opioid subgroup – including fentanyl,,,,0.2,18.3,56.5,60.8,45.5,0.1,35.2,11.1,1.1,0.6,,
2021,Male,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.0,0.0,1.7,7.8,8.4,7.6,0.0,7.0,3.2,0.6,0.2,,
2021,Male,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,,,4.2,22.6,29.0,25.3,,19.5,6.3,0.7,,,
2020,Both sexes,"All (preventable, intentional, undetermined)",,All drugs,,,1.7,0.4,0.3,16.7,47.3,53.9,46.9,37.3,13.2,4.0,3.9,,
2020,Both sexes,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.6,0.4,0.1,14.1,39.6,41.9,32.8,24.6,7.8,1.5,1.1,,
2020,Both sexes,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,3.0,6.7,7.3,5.7,4.6,1.6,0.5,0.5,,
2020,Both sexes,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.4,0.7,0.6,0.4,0.3,0.1,NR,NR,,
2020,Both sexes,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,2.6,9.5,11.4,11.1,9.0,2.6,0.3,NR,,
2020,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,0.1,NR,NR,1.7,7.8,8.3,6.5,5.1,1.7,0.2,NR,,
2020,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,0.1,NR,0.3,1.3,2.1,2.0,1.9,0.8,0.1,NR,,
2020,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.5,0.3,0.1,12.7,34.4,35.4,26.6,18.3,5.0,0.6,0.2,,
2020,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,NR,NR,1.6,6.0,7.7,7.0,6.6,2.7,0.9,0.9,,
2020,Both sexes,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.9,NR,NR,3.1,12.4,15.7,13.1,9.4,2.7,0.2,NR,,
2020,Both sexes,Preventable/accidental,,All drugs,,,0.4,0.2,0.1,15.3,44.1,50.1,42.6,33.5,10.9,2.5,2.3,,
2020,Both sexes,Preventable/accidental,,Any Opioid,,,0.1,0.1,0.1,13.5,37.6,39.8,30.6,22.5,6.7,0.8,0.4,,
2020,Both sexes,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,2.8,6.3,6.7,4.9,3.9,1.1,0.2,0.1,,
2020,Both sexes,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.3,0.6,0.6,0.4,0.3,0.1,NR,NR,,
2020,Both sexes,Preventable/accidental,,Cocaine,,,0.1,NR,NR,2.5,9.0,10.9,10.6,8.6,2.5,0.3,NR,,
2020,Both sexes,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,1.6,7.6,8.1,6.4,5.0,1.7,0.2,NR,,
2020,Both sexes,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.3,1.2,2.0,1.8,1.7,0.7,NR,NR,,
2020,Both sexes,Preventable/accidental,,Opioid subgroup – including fentanyl,,,0.1,0.1,0.1,12.2,32.8,33.8,25.1,17.0,4.5,0.5,0.1,,
2020,Both sexes,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,1.5,5.6,7.1,6.2,5.7,1.9,0.4,0.2,,
2020,Both sexes,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.2,NR,NR,3.0,11.9,15.1,12.7,9.1,2.6,0.2,NR,,
2020,Female,"All (preventable, intentional, undetermined)",,All drugs,,,1.7,0.4,0.3,9.6,27.1,32.2,29.8,23.3,7.9,3.4,3.6,,
2020,Female,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.6,0.3,0.1,7.6,22.0,23.8,19.9,15.1,4.4,1.3,1.0,,
2020,Female,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,0.1,NR,NR,1.6,4.6,5.6,5.0,4.1,1.4,0.6,0.5,,
2020,Female,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.2,0.3,0.3,0.2,0.1,NR,NR,NR,,
2020,Female,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,1.4,5.4,6.5,6.1,4.4,0.8,NR,NR,,
2020,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,1.1,4.3,4.1,3.1,2.2,0.5,0.1,NR,,
2020,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,0.1,NR,0.1,1.0,1.8,1.7,1.5,0.4,NR,NR,,
2020,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.4,0.2,0.1,6.9,18.7,19.0,14.6,9.8,2.1,0.5,0.2,,
2020,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.2,NR,NR,0.9,4.2,5.6,6.0,5.6,2.2,0.9,0.8,,
2020,Female,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,1.0,NR,NR,2.1,7.7,9.2,7.5,4.7,1.0,0.1,NR,,
2020,Female,Preventable/accidental,,All drugs,,,0.2,0.1,0.1,8.3,24.8,28.9,25.8,19.7,5.6,1.9,2.2,,
2020,Female,Preventable/accidental,,Any Opioid,,,0.1,0.1,0.1,7.2,20.8,22.3,18.1,13.3,3.3,0.6,0.4,,
2020,Female,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.4,4.2,5.1,4.2,3.4,0.9,0.2,0.2,,
2020,Female,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.2,0.3,0.3,0.2,0.1,NR,NR,NR,,
2020,Female,Preventable/accidental,,Cocaine,,,NR,NR,NR,1.4,5.1,6.2,5.7,4.2,0.8,NR,NR,,
2020,Female,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,1.1,4.1,4.0,3.1,2.2,0.5,0.1,NR,,
2020,Female,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.1,0.9,1.7,1.5,1.4,0.4,NR,NR,,
2020,Female,Preventable/accidental,,Opioid subgroup – including fentanyl,,,0.1,0.1,0.1,6.6,17.7,17.9,13.6,9.0,1.8,0.3,0.1,,
2020,Female,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,0.8,3.8,5.0,5.2,4.6,1.3,0.4,0.3,,
2020,Female,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.2,NR,NR,2.0,7.4,8.7,7.3,4.5,0.9,NR,NR,,
2020,Male,"All (preventable, intentional, undetermined)",,All drugs,,,1.8,0.5,0.2,23.5,66.7,75.6,64.4,52.3,19.2,4.7,4.6,,
2020,Male,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.7,0.4,0.2,20.3,56.5,6NR,46.1,34.8,11.8,1.9,1.3,,
2020,Male,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,4.3,8.7,8.9,6.3,5.1,1.9,0.4,0.5,,
2020,Male,"All (preventable, intentional, undetermined)",,Cannabis,,,0.1,NR,NR,0.5,1.0,1.0,0.6,0.4,0.1,NR,NR,,
2020,Male,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,3.6,13.4,16.3,16.3,13.9,4.6,0.6,0.1,,
2020,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,0.1,NR,NR,2.2,11.2,12.4,1NR,8.2,3.1,0.3,NR,,
2020,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,0.1,NR,0.5,1.6,2.5,2.3,2.3,1.2,0.1,NR,,
2020,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.6,0.3,0.1,18.2,49.6,51.8,38.9,27.5,8.2,0.8,0.3,,
2020,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,NR,NR,2.3,7.9,9.8,8.0,7.7,3.2,1.0,1.0,,
2020,Male,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.8,NR,NR,4.0,16.9,22.3,18.7,14.4,4.6,0.5,NR,,
2020,Male,Preventable/accidental,,All drugs,,,0.6,0.2,0.1,22.0,62.8,71.3,59.8,48.2,17.0,3.2,2.6,,
2020,Male,Preventable/accidental,,Any Opioid,,,0.2,0.1,0.1,19.4,53.9,57.4,43.5,32.3,10.6,1.1,0.4,,
2020,Male,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,4.2,8.3,8.4,5.7,4.5,1.4,0.2,0.1,,
2020,Male,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.5,1.0,1.0,0.6,0.4,0.1,NR,NR,,
2020,Male,Preventable/accidental,,Cocaine,,,0.1,NR,NR,3.6,12.8,15.6,15.6,13.3,4.5,0.6,0.1,,
2020,Male,Preventable/accidental,,Opioid subgroup - heroin,,,0.1,NR,NR,2.2,10.9,12.1,9.9,8.0,3.0,0.3,NR,,
2020,Male,Preventable/accidental,,Opioid subgroup - methadone,,,0.1,NR,NR,0.4,1.5,2.3,2.1,2.1,1.1,0.1,NR,,
2020,Male,Preventable/accidental,,Opioid subgroup – including fentanyl,,,0.2,0.1,0.1,17.5,47.4,49.6,36.8,25.7,7.6,0.7,0.2,,
2020,Male,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,2.2,7.4,9.2,7.3,6.9,2.6,0.4,0.2,,
2020,Male,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.3,NR,NR,3.9,16.3,21.6,18.3,14.1,4.5,0.5,NR,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2019,Both sexes,"All (preventable, intentional, undetermined)",,All drugs,,,1.3,0.3,0.2,11.2,35.6,40.5,36.9,30.4,11.3,4.2,3.6,,
2019,Both sexes,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.5,0.2,0.1,8.7,29.0,29.8,24.5,18.8,6.3,1.7,1.1,,
2019,Both sexes,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.7,5.0,5.5,5.0,4.2,1.5,0.6,0.3,,
2019,Both sexes,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.3,0.5,0.5,0.4,0.2,0.1,NR,NR,,
2019,Both sexes,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,2.0,7.9,9.3,9.1,7.2,2.2,0.2,NR,,
2019,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,0.1,NR,NR,2.1,8.8,8.7,6.7,5.1,1.7,0.2,NR,,
2019,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,NR,NR,0.2,1.1,1.6,1.5,1.5,0.5,0.1,NR,,
2019,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.3,0.2,NR,7.1,23.0,22.6,17.3,12.0,3.3,0.5,0.2,,
2019,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,NR,NR,1.4,5.1,6.4,6.4,6.0,2.6,1.2,0.9,,
2019,Both sexes,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.4,NR,NR,2.1,8.0,10.4,9.1,6.8,1.9,0.2,NR,,
2019,Both sexes,Preventable/accidental,,All drugs,,,0.3,0.1,NR,9.7,32.8,36.8,32.4,26.0,8.8,2.4,1.9,,
2019,Both sexes,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,8.1,27.3,27.9,22.3,16.5,5.1,0.8,0.2,,
2019,Both sexes,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.6,4.7,5.0,4.2,3.4,0.9,0.2,0.1,,
2019,Both sexes,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.2,0.5,0.5,0.4,0.2,0.1,NR,NR,,
2019,Both sexes,Preventable/accidental,,Cocaine,,,NR,NR,NR,1.9,7.5,8.8,8.6,6.9,2.1,0.2,NR,,
2019,Both sexes,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,2.0,8.5,8.4,6.6,5.0,1.6,0.1,NR,,
2019,Both sexes,Preventable/accidental,,Opioid subgroup - methadone,,,0.1,NR,NR,0.2,1.1,1.4,1.4,1.3,0.5,NR,NR,,
2019,Both sexes,Preventable/accidental,,Opioid subgroup – including fentanyl,,,0.1,0.1,NR,6.7,21.6,21.2,16.0,10.7,2.9,0.3,NR,,
2019,Both sexes,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,1.2,4.7,5.7,5.4,4.8,1.8,0.4,0.2,,
2019,Both sexes,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,2.0,7.7,1NR,8.7,6.6,1.8,0.2,NR,,
2019,Female,"All (preventable, intentional, undetermined)",,All drugs,,,1.1,0.3,0.2,7.0,21.1,24.4,25.1,20.1,7.4,3.8,3.5,,
2019,Female,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.5,0.2,0.1,5.1,16.7,16.9,15.7,12.5,3.9,1.5,1.0,,
2019,Female,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.0,3.3,4.2,4.7,4.0,1.4,0.6,0.4,,
2019,Female,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.2,0.2,0.3,0.3,0.1,NR,NR,NR,,
2019,Female,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,1.1,4.6,5.2,5.2,3.5,0.7,NR,NR,,
2019,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,1.3,4.8,4.1,3.2,2.4,0.6,NR,NR,,
2019,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,NR,NR,0.1,1.0,1.4,1.4,1.1,0.3,NR,NR,,
2019,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.3,0.2,NR,4.1,13.0,11.8,9.7,6.8,1.5,0.3,0.1,,
2019,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.2,NR,NR,0.9,3.4,4.9,5.6,5.2,2.4,1.2,0.8,,
2019,Female,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.4,NR,NR,1.5,5.2,5.9,5.3,3.4,0.8,0.1,NR,,
2019,Female,Preventable/accidental,,All drugs,,,0.3,0.1,0.1,5.6,18.8,21.2,20.4,16.0,4.9,1.9,2.0,,
2019,Female,Preventable/accidental,,Any Opioid,,,0.2,0.1,NR,4.6,15.5,15.5,13.6,10.4,2.8,0.6,0.3,,
2019,Female,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,0.9,3.0,3.7,3.7,3.0,0.8,0.1,0.1,,
2019,Female,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.2,0.3,0.2,0.1,NR,NR,NR,,
2019,Female,Preventable/accidental,,Cocaine,,,0.1,NR,NR,1.0,4.3,4.9,4.8,3.3,0.7,NR,NR,,
2019,Female,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,1.3,4.6,3.9,3.1,2.3,0.6,NR,NR,,
2019,Female,Preventable/accidental,,Opioid subgroup - methadone,,,0.1,NR,NR,0.1,0.9,1.2,1.3,1.0,0.3,NR,NR,,
2019,Female,Preventable/accidental,,Opioid subgroup – including fentanyl,,,0.1,0.1,NR,3.8,12.2,10.9,8.7,5.9,1.2,0.1,NR,,
2019,Female,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,NR,NR,0.7,3.1,4.3,4.5,4.0,1.5,0.4,0.2,,
2019,Female,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,1.3,5.0,5.6,5.0,3.3,0.7,0.1,NR,,
2019,Male,"All (preventable, intentional, undetermined)",,All drugs,,,1.6,0.3,0.1,15.2,49.7,56.6,49.0,41.4,15.7,4.8,3.8,,
2019,Male,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.5,0.3,0.1,12.2,40.9,42.8,33.6,25.6,8.9,1.8,1.3,,
2019,Male,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,2.4,6.6,6.8,5.3,4.4,1.5,0.6,0.3,,
2019,Male,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.4,0.8,0.6,0.5,0.3,0.1,NR,NR,,
2019,Male,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,2.8,11.1,13.5,13.1,11.2,3.8,0.5,NR,,
2019,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,0.2,NR,NR,2.7,12.6,13.4,10.3,8.0,2.9,0.3,NR,,
2019,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.2,NR,NR,0.3,1.3,1.8,1.7,1.9,0.8,0.1,NR,,
2019,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.3,0.2,NR,1NR,32.6,33.4,25.1,17.6,5.4,0.7,0.2,,
2019,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,NR,NR,2.0,6.8,7.8,7.2,6.8,2.9,1.1,1.0,,
2019,Male,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.5,NR,NR,2.7,10.8,14.8,12.9,10.4,3.1,0.4,NR,,
2019,Male,Preventable/accidental,,All drugs,,,0.3,0.1,NR,13.7,46.2,52.5,44.7,36.8,13.3,3.0,1.8,,
2019,Male,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,11.5,38.7,40.3,31.2,23.0,7.6,1.0,0.2,,
2019,Male,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,2.2,6.3,6.3,4.7,3.8,1.1,0.2,NR,,
2019,Male,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.3,0.8,0.6,0.5,0.3,0.1,NR,NR,,
