Year,Gender,Intent,Intent,Drug type,< 1 year,1-4 years,5-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85+ years,Not stated,All ages
2021,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup - methadone,0,0,23,237,360,328,0,340,82,0,0,3,1373
2021,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup – including fentanyl,0,10,1662,4784,4941,3585,21,2862,525,30,18,0,18438
2021,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,0,158,752,1114,1074,0,1109,323,24,11,2,4567
2021,Female,Preventable/accidental,Preventable/accidental,Psychostimulants – incl. methamphetamine,0,0,508,2044,2598,1986,0,1461,249,14,0,9,8869
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,40,67,5115,17361,18941,14963,49,13277,3928,443,108,9,74301
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,18,54,4446,14740,15054,10842,39,8925,2412,189,31,7,56757
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,0,0,789,2044,1962,1277,0,1030,296,34,10,1,7443
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,0,0,106,254,217,145,0,112,17,0,0,1,852
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,0,0,773,3392,4241,4108,0,3988,1046,67,0,13,17628
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,0,0,234,1601,1797,1406,0,1332,397,29,0,5,6801
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,0,0,45,338,513,465,0,546,224,19,0,9,2159
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,16,51,4181,13564,13814,9663,31,7736,1869,91,7,7,51030
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,0,0,411,1887,1936,1688,0,1618,611,88,22,7,8268
2021,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,19,0,961,5359,6520,5243,0,4144,1008,52,0,13,23319
2021,Male,Preventable/accidental,Preventable/accidental,All drugs,14,18,4754,16453,17971,14073,36,12462,3565,324,58,7,69735
2021,Male,Preventable/accidental,Preventable/accidental,Any Opioid,0,14,4271,14129,14429,10312,31,8446,2210,131,10,9,53992
2021,Male,Preventable/accidental,Preventable/accidental,Benzodiazepines,0,0,749,1952,1846,1177,0,920,231,16,0,3,6894
2021,Male,Preventable/accidental,Preventable/accidental,Cannabis,0,0,106,248,213,142,0,111,16,0,0,1,837
2021,Male,Preventable/accidental,Preventable/accidental,Cocaine,0,0,744,3251,4075,3934,0,3853,1027,65,0,6,16955
2021,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup - heroin,0,0,226,1568,1749,1384,0,1310,395,29,0,4,6665
2021,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup - methadone,0,0,44,310,474,427,0,507,208,18,0,2,1990
2021,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup – including fentanyl,0,13,4030,13033,13285,9250,26,7387,1769,80,14,0,48887
2021,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,0,374,1792,1840,1550,0,1457,503,40,5,5,7566
2021,Male,Preventable/accidental,Preventable/accidental,Psychostimulants – incl. methamphetamine,0,0,922,5210,6337,5129,0,4084,992,48,0,16,22738
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,65,70,112,7095,21784,22710,"18,919",15819,4291,655,263,16,91799
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,24,58,61,5986,18239,17666,"13,258",10445,2554,254,76,9,68630
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,1,1,6,1267,3073,3069,"2,287",1933,535,84,34,0,12290
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,1,0,1,149,300,270,171,114,22,0,0,0,1028
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,3,1,1,1089,4366,4796,"4,487",3807,842,50,3,2,19447
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,2,2,2,711,3586,3477,"2,639",2160,555,29,1,1,13165
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,2,12,5,130,604,903,805,809,262,9,0,2,3543
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,19,41,43,5393,15854,14906,"10,734",7777,1623,103,16,7,56516
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,4,5,13,693,2784,3243,"2,831",2815,867,153,60,3,13471
2020,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,33,3,3,1316,5700,6624,"5,271",3972,863,40,3,9,23837
2020,Both sexes,Preventable/accidental,Preventable/accidental,All drugs,15,26,52,6496,20322,21114,"17,192",14193,3563,413,156,16,83558
2020,Both sexes,Preventable/accidental,Preventable/accidental,Any Opioid,5,20,40,5729,17344,16783,"12,370",9538,2182,139,24,9,64183
2020,Both sexes,Preventable/accidental,Preventable/accidental,Benzodiazepines,0,0,3,1205,2898,2830,"1,995",1666,363,25,9,0,10994
2020,Both sexes,Preventable/accidental,Preventable/accidental,Cannabis,0,0,0,143,294,262,164,108,18,0,0,0,989
2020,Both sexes,Preventable/accidental,Preventable/accidental,Cocaine,2,0,1,1055,4161,4587,"4,283",3651,816,49,2,2,18609
2020,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup - heroin,1,1,2,690,3493,3393,"2,587",2111,544,26,1,1,12850
2020,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup - methadone,1,3,0,118,555,832,728,731,236,6,0,2,3212
2020,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup – including fentanyl,4,15,36,5180,15116,14221,"10,116",7225,1477,75,8,7,53480
2020,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,2,4,652,2596,3001,"2,516",2419,623,62,15,3,11893
2020,Both sexes,Preventable/accidental,Preventable/accidental,Psychostimulants – incl. methamphetamine,8,0,1,1267,5481,6373,"5,127",3875,843,37,1,9,23022
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,31,28,66,1990,6141,6791,"6,089",5096,1371,313,153,2,28071
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,11,26,28,1584,4987,5028,"4,074",3307,764,117,44,0,19970
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,1,0,2,330,1035,1187,"1,027",898,251,56,23,0,4810
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,0,0,1,36,59,57,43,32,5,0,0,0,233
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,1,0,0,299,1230,1363,"1,243",963,142,4,0,0,5245
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,0,0,1,230,965,866,639,488,90,5,0,0,3284
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,1,5,3,29,228,384,349,334,76,2,0,0,1411
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,8,18,18,1428,4222,3999,"2,985",2145,371,47,9,0,15250
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,3,3,7,196,940,1180,"1,228",1231,383,79,36,0,5286
2020,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,18,1,2,444,1744,1933,"1,542",1025,171,6,2,2,6890
2020,Female,Preventable/accidental,Preventable/accidental,All drugs,4,10,24,1719,5608,6101,"5,269",4325,976,179,93,2,24310
2020,Female,Preventable/accidental,Preventable/accidental,Any Opioid,1,9,17,1506,4697,4701,"3,701",2917,572,56,15,0,18192
2020,Female,Preventable/accidental,Preventable/accidental,Benzodiazepines,0,0,1,302,950,1066,863,736,149,14,7,0,4088
2020,Female,Preventable/accidental,Preventable/accidental,Cannabis,0,0,0,32,59,54,38,30,4,0,0,0,217
2020,Female,Preventable/accidental,Preventable/accidental,Cocaine,0,0,0,282,1162,1298,"1,172",924,137,3,0,0,4978
2020,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup - heroin,0,0,1,220,931,841,624,472,89,5,0,0,3183
2020,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup - methadone,0,1,0,27,205,351,312,298,69,0,0,0,1263
2020,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup – including fentanyl,1,6,16,1368,3999,3777,"2,777",1967,319,26,4,0,14260
2020,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,2,1,176,869,1060,"1,053",1006,233,33,11,0,4444
2020,Female,Preventable/accidental,Preventable/accidental,Psychostimulants – incl. methamphetamine,3,0,1,424,1668,1831,"1,488",981,164,4,0,2,6566
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,34,42,46,5105,15643,15919,"12,830",10723,2920,342,110,14,63728
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,13,32,33,4402,13252,12638,"9,184",7138,1790,137,32,9,48660
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,0,1,4,937,2038,1882,"1,260",1035,284,28,11,0,7480
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,1,0,0,113,241,213,128,82,17,0,0,0,795
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,2,1,1,790,3136,3433,"3,244",2844,700,46,3,2,14202
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,2,2,1,481,2621,2611,"2,000",1672,465,24,1,1,9881
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,1,7,2,101,376,519,456,475,186,7,0,2,2132
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,11,23,25,3965,11632,10907,"7,749",5632,1252,56,7,7,41266
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,1,2,6,497,1844,2063,"1,603",1584,484,74,24,3,8185
2020,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,15,2,1,872,3956,4691,"3,729",2947,692,34,1,7,16947
2020,Male,Preventable/accidental,Preventable/accidental,All drugs,11,16,28,4777,14714,15013,"11,923",9868,2587,234,63,14,59248
2020,Male,Preventable/accidental,Preventable/accidental,Any Opioid,4,11,23,4223,12647,12082,"8,669",6621,1610,83,9,9,45991
2020,Male,Preventable/accidental,Preventable/accidental,Benzodiazepines,0,0,2,903,1948,1764,"1,132",930,214,11,2,0,6906
2020,Male,Preventable/accidental,Preventable/accidental,Cannabis,0,0,0,111,235,208,126,78,14,0,0,0,772
2020,Male,Preventable/accidental,Preventable/accidental,Cocaine,2,0,1,773,2999,3289,"3,111",2727,679,46,2,2,13631
2020,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup - heroin,1,1,1,470,2562,2552,"1,963",1639,455,21,1,1,9667
2020,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup - methadone,1,2,0,91,350,481,416,433,167,6,0,2,1949
2020,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup – including fentanyl,3,9,20,3812,11117,10444,"7,339",5258,1158,49,4,7,39220
2020,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,0,3,476,1727,1941,"1,463",1413,390,29,4,3,7449
2020,Male,Preventable/accidental,Preventable/accidental,Psychostimulants – incl. methamphetamine,5,0,0,843,3813,4542,"3,639",2894,679,33,1,7,16456
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,50,50,63,4777,16375,16859,"15,083",12896,3557,672,240,8,70630
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,19,39,31,3725,13309,12425,"10,015",7978,1977,265,72,5,49860
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,0,1,4,727,2297,2282,"2,036",1788,458,96,21,1,9711
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,0,0,1,111,233,197,155,85,17,0,0,0,799
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,3,2,2,850,3630,3889,"3,726",3061,679,37,1,3,15883
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,4,3,1,876,4026,3629,"2,757",2173,523,25,1,1,14019
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,5,6,6,80,524,669,631,638,169,11,1,0,2740
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,10,29,16,3040,10550,9407,"7,081",5092,1044,75,10,5,36359
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,4,5,12,609,2361,2651,"2,629",2544,827,184,58,2,11886
2019,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,17,2,6,909,3692,4325,"3,702",2897,584,31,2,0,16167
2019,Both sexes,Preventable/accidental,Preventable/accidental,All drugs,12,20,19,4156,15054,15336,"13,237",11051,2777,378,126,6,62172
2019,Both sexes,Preventable/accidental,Preventable/accidental,Any Opioid,5,14,13,3472,12537,11610,"9,110",6989,1597,123,16,3,45489
2019,Both sexes,Preventable/accidental,Preventable/accidental,Benzodiazepines,0,0,1,670,2140,2097,"1,727",1435,293,27,5,1,8396
2019,Both sexes,Preventable/accidental,Preventable/accidental,Cannabis,0,0,0,105,221,188,146,79,16,0,0,0,755
2019,Both sexes,Preventable/accidental,Preventable/accidental,Cocaine,1,1,1,802,3436,3668,"3,528",2916,649,36,0,3,15041
2019,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup - heroin,0,2,0,839,3900,3518,"2,690",2110,511,22,1,1,13594
2019,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup - methadone,2,2,1,70,485,600,570,572,152,7,0,0,2461
2019,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup – including fentanyl,2,11,12,2869,9946,8846,"6,528",4561,904,41,2,3,33725
2019,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,1,2,3,525,2167,2376,"2,214",2037,575,67,12,2,9981
2019,Both sexes,Preventable/accidental,Preventable/accidental,Psychostimulants – incl. methamphetamine,4,1,2,846,3528,4155,"3,572",2799,566,28,2,0,15503
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,20,26,41,1459,4767,5088,"5,200",4411,1248,337,149,3,22749
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,9,18,18,1058,3763,3536,"3,247",2733,662,136,42,3,15225
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,0,1,3,208,750,872,968,880,232,57,15,0,3986
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,0,0,1,33,47,65,53,26,3,0,0,0,228
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,1,0,2,236,1044,1083,"1,085",760,119,4,1,1,4336
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,0,1,1,280,1085,852,672,526,97,4,1,1,3520
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,2,3,4,25,220,291,289,248,54,3,1,0,1140
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,5,13,8,865,2938,2453,"2,014",1486,256,29,6,3,10076
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,3,2,7,180,777,1020,"1,169",1143,398,106,35,2,4842
2019,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,8,1,2,313,1176,1240,"1,099",757,130,6,1,0,4733
2019,Female,Preventable/accidental,Preventable/accidental,All drugs,6,10,11,1163,4256,4420,"4,227",3501,818,170,83,2,18667
2019,Female,Preventable/accidental,Preventable/accidental,Any Opioid,4,5,7,956,3506,3236,"2,824",2278,474,55,11,2,13358
2019,Female,Preventable/accidental,Preventable/accidental,Benzodiazepines,0,0,1,180,679,778,772,664,128,13,4,0,3219
2019,Female,Preventable/accidental,Preventable/accidental,Cannabis,0,0,0,30,45,62,46,22,3,0,0,0,208
2019,Female,Preventable/accidental,Preventable/accidental,Cocaine,1,0,1,218,980,1016,"1,004",729,114,4,0,1,4068
2019,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup - heroin,0,1,0,266,1044,818,646,507,95,2,1,1,3381
2019,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup - methadone,2,0,1,20,201,258,260,223,44,0,0,0,1009
2019,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup – including fentanyl,1,5,6,800,2751,2278,"1,802",1290,206,12,2,2,9155
2019,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,1,0,1,141,693,895,939,875,250,39,8,2,3844
2019,Female,Preventable/accidental,Preventable/accidental,Psychostimulants – incl. methamphetamine,2,0,1,281,1120,1177,"1,037",714,121,5,1,0,4459
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,30,24,22,3318,11608,11771,"9,883",8485,2309,335,91,5,47881
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,10,21,13,2667,9546,8889,"6,768",5245,1315,129,30,2,34635
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,0,0,1,519,1547,1410,"1,068",908,226,39,6,1,5725
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,0,0,0,78,186,132,102,59,14,0,0,0,571
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,2,2,0,614,2586,2806,"2,641",2301,560,33,0,2,11547
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,4,2,0,596,2941,2777,"2,085",1647,426,21,0,0,10499
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,3,3,2,55,304,378,342,390,115,8,0,0,1600
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,5,16,8,2175,7612,6954,"5,067",3606,788,46,4,2,26283
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,1,3,5,429,1584,1631,"1,460",1401,429,78,23,0,7044
2019,Male,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,9,1,4,596,2516,3085,"2,603",2140,454,25,1,0,11434
2019,Male,Preventable/accidental,Preventable/accidental,All drugs,6,10,8,2993,10798,10916,"9,010",7550,1959,208,43,4,43505
2019,Male,Preventable/accidental,Preventable/accidental,Any Opioid,1,9,6,2516,9031,8374,"6,286",4711,1123,68,5,1,32131
2019,Male,Preventable/accidental,Preventable/accidental,Benzodiazepines,0,0,0,490,1461,1319,955,771,165,14,1,1,5177
2019,Male,Preventable/accidental,Preventable/accidental,Cannabis,0,0,0,75,176,126,100,57,13,0,0,0,547
2019,Male,Preventable/accidental,Preventable/accidental,Cocaine,0,1,0,584,2456,2652,"2,524",2187,535,32,0,2,10973
2019,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup - heroin,0,1,0,573,2856,2700,"2,044",1603,416,20,0,0,10213
2019,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup - methadone,0,2,0,50,284,342,310,349,108,7,0,0,1452
2019,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup – including fentanyl,1,6,6,2069,7195,6568,"4,726",3271,698,29,0,1,24570
2019,Male,Preventable/accidental,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,2,2,384,1474,1481,"1,275",1162,325,28,4,0,6137
2019,Male,Preventable/accidental,Preventable/accidental,Psychostimulants – incl. methamphetamine,2,1,1,565,2408,2978,"2,535",2085,445,23,1,0,11044
2018,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,32,35,53,4633,16200,15794,"14,688",11946,3122,603,247,14,67367
2018,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,15,27,23,3618,12839,11414,"9,565",7278,1730,222,60,11,46802
